Replicate,Start,End,Germinated
A,0,1,0
A,1,2,4
A,2,3,3
A,3,4,2
A,4,5,1
A,5,6,0
A,6,7,1
A,7,8,0
A,8,9,0
A,9,10,0
A,10,11,0
A,11,12,0
A,12,13,0
A,13,14,0
A,14,15,0
A,15,16,0
A,16,17,0
A,17,18,0
A,18,19,0
A,19,20,1
A,20,21,0
A,21,22,0
A,22,23,0
A,23,24,0
A,24,25,0
A,25,26,0
A,26,27,0
A,27,28,0
A,28,Inf,4
B,0,1,0
B,1,2,2
B,2,3,2
B,3,4,1
B,4,5,1
B,5,6,0
B,6,7,2
B,7,8,1
B,8,9,0
B,9,10,0
B,10,11,0
B,11,12,0
B,12,13,0
B,13,14,0
B,14,15,0
B,15,16,0
B,16,17,0
B,17,18,0
B,18,19,0
B,19,20,0
B,20,21,0
B,21,22,0
B,22,23,0
B,23,24,0
B,24,25,0
B,25,26,0
B,26,27,0
B,27,28,0
B,28,Inf,7
C,0,1,0
C,1,2,6
C,2,3,1
C,3,4,0
C,4,5,1
C,5,6,1
C,6,7,0
C,7,8,0
C,8,9,0
C,9,10,0
C,10,11,0
C,11,12,0
C,12,13,0
C,13,14,0
C,14,15,0
C,15,16,0
C,16,17,0
C,17,18,0
C,18,19,0
C,19,20,0
C,20,21,0
C,21,22,0
C,22,23,0
C,23,24,0
C,24,25,0
C,25,26,0
C,26,27,0
C,27,28,0
C,28,Inf,7
D,0,1,0
D,1,2,2
D,2,3,3
D,3,4,2
D,4,5,1
D,5,6,0
D,6,7,1
D,7,8,0
D,8,9,0
D,9,10,1
D,10,11,1
D,11,12,0
D,12,13,0
D,13,14,0
D,14,15,0
D,15,16,0
D,16,17,0
D,17,18,0
D,18,19,0
D,19,20,0
D,20,21,0
D,21,22,0
D,22,23,0
D,23,24,0
D,24,25,0
D,25,26,0
D,26,27,0
D,27,28,0
D,28,Inf,5
